Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
22900,27,70,3,0.27,0.7,0.03
23000,41,55,4,0.41,0.55,0.04
23100,61,35,4,0.61,0.35,0.04
23200,48,47,5,0.48,0.47,0.05
23300,47,51,2,0.47,0.51,0.02
23400,32,64,4,0.32,0.64,0.04
23500,50,48,2,0.5,0.48,0.02
23600,37,59,4,0.37,0.59,0.04
23700,22,73,5,0.22,0.73,0.05
23800,42,55,3,0.42,0.55,0.03
23900,34,61,5,0.34,0.61,0.05
24000,20,78,2,0.2,0.78,0.02
24100,35,61,4,0.35,0.61,0.04
24200,29,68,3,0.29,0.68,0.03
24300,33,64,3,0.33,0.64,0.03
24400,41,53,6,0.41,0.53,0.06
24500,48,49,3,0.48,0.49,0.03
24600,30,67,3,0.3,0.67,0.03
24700,36,62,2,0.36,0.62,0.02
24800,32,63,5,0.32,0.63,0.05
24900,35,62,3,0.35,0.62,0.03
25000,22,74,4,0.22,0.74,0.04
25100,17,80,3,0.17,0.8,0.03
25200,39,55,6,0.39,0.55,0.06
25300,29,69,2,0.29,0.69,0.02
25400,29,67,4,0.29,0.67,0.04
25500,34,66,0,0.34,0.66,0.0
25600,48,47,5,0.48,0.47,0.05
25700,36,63,1,0.36,0.63,0.01
25800,38,61,1,0.38,0.61,0.01
25900,32,66,2,0.32,0.66,0.02
26000,33,62,5,0.33,0.62,0.05
26100,32,64,4,0.32,0.64,0.04
26200,40,51,9,0.4,0.51,0.09
26300,32,65,3,0.32,0.65,0.03
26400,29,67,4,0.29,0.67,0.04
26500,40,55,5,0.4,0.55,0.05
26600,35,62,3,0.35,0.62,0.03
26700,32,62,6,0.32,0.62,0.06
26800,44,53,3,0.44,0.53,0.03
26900,38,56,6,0.38,0.56,0.06
27000,45,50,5,0.45,0.5,0.05
27100,40,53,7,0.4,0.53,0.07
27200,40,57,3,0.4,0.57,0.03
27300,48,50,2,0.48,0.5,0.02
27400,27,64,9,0.27,0.64,0.09
27500,45,52,3,0.45,0.52,0.03
27600,30,68,2,0.3,0.68,0.02
27700,29,68,3,0.29,0.68,0.03
27800,37,60,3,0.37,0.6,0.03
27900,52,44,4,0.52,0.44,0.04
28000,40,58,2,0.4,0.58,0.02
28100,22,74,4,0.22,0.74,0.04
28200,27,70,3,0.27,0.7,0.03
28300,36,56,8,0.36,0.56,0.08
28400,19,81,0,0.19,0.81,0.0
28500,33,64,3,0.33,0.64,0.03
28600,42,55,3,0.42,0.55,0.03
28700,35,62,3,0.35,0.62,0.03
28800,27,72,1,0.27,0.72,0.01
28900,27,69,4,0.27,0.69,0.04
29000,36,64,0,0.36,0.64,0.0
29100,45,49,6,0.45,0.49,0.06
29200,22,74,4,0.22,0.74,0.04
29300,32,63,5,0.32,0.63,0.05
29400,23,75,2,0.23,0.75,0.02
29500,35,58,7,0.35,0.58,0.07
29600,34,62,4,0.34,0.62,0.04
29700,47,50,3,0.47,0.5,0.03
29800,43,48,9,0.43,0.48,0.09
29900,51,44,5,0.51,0.44,0.05
30000,26,68,6,0.26,0.68,0.06
30100,42,56,2,0.42,0.56,0.02
30200,38,54,8,0.38,0.54,0.08
30300,51,45,4,0.51,0.45,0.04
30400,35,63,2,0.35,0.63,0.02
30500,47,48,5,0.47,0.48,0.05
30600,24,73,3,0.24,0.73,0.03
30700,37,58,5,0.37,0.58,0.05
30800,40,58,2,0.4,0.58,0.02
30900,42,52,6,0.42,0.52,0.06
31000,40,53,7,0.4,0.53,0.07
31100,39,55,6,0.39,0.55,0.06
31200,47,49,4,0.47,0.49,0.04
31300,45,49,6,0.45,0.49,0.06
31400,44,53,3,0.44,0.53,0.03
31500,31,67,2,0.31,0.67,0.02
31600,48,50,2,0.48,0.5,0.02
31700,51,45,4,0.51,0.45,0.04
31800,42,55,3,0.42,0.55,0.03
31900,53,42,5,0.53,0.42,0.05
32000,38,57,5,0.38,0.57,0.05
32100,39,60,1,0.39,0.6,0.01
32200,49,46,5,0.49,0.46,0.05
32300,36,61,3,0.36,0.61,0.03
32400,42,54,4,0.42,0.54,0.04
32500,43,53,4,0.43,0.53,0.04
32600,46,50,4,0.46,0.5,0.04
32700,41,55,4,0.41,0.55,0.04
32800,36,59,5,0.36,0.59,0.05
32900,36,60,4,0.36,0.6,0.04
33000,49,47,4,0.49,0.47,0.04
33100,46,49,5,0.46,0.49,0.05
33200,35,64,1,0.35,0.64,0.01
33300,43,51,6,0.43,0.51,0.06
33400,38,57,5,0.38,0.57,0.05
33500,36,60,4,0.36,0.6,0.04
33600,48,48,4,0.48,0.48,0.04
33700,32,63,5,0.32,0.63,0.05
33800,41,54,5,0.41,0.54,0.05
33900,51,45,4,0.51,0.45,0.04
34000,33,63,4,0.33,0.63,0.04
34100,41,58,1,0.41,0.58,0.01
34200,44,51,5,0.44,0.51,0.05
34300,48,49,3,0.48,0.49,0.03
34400,48,48,4,0.48,0.48,0.04
34500,43,52,5,0.43,0.52,0.05
34600,43,52,5,0.43,0.52,0.05
34700,50,45,5,0.5,0.45,0.05
34800,47,50,3,0.47,0.5,0.03
34900,34,63,3,0.34,0.63,0.03
35000,31,66,3,0.31,0.66,0.03
35100,38,55,7,0.38,0.55,0.07
35200,38,57,5,0.38,0.57,0.05
35300,34,59,7,0.34,0.59,0.07
35400,38,57,5,0.38,0.57,0.05
35500,25,70,5,0.25,0.7,0.05
35600,54,42,4,0.54,0.42,0.04
35700,31,64,5,0.31,0.64,0.05
35800,40,56,4,0.4,0.56,0.04
35900,41,56,3,0.41,0.56,0.03
36000,36,58,6,0.36,0.58,0.06
36100,37,62,1,0.37,0.62,0.01
36200,33,61,6,0.33,0.61,0.06
36300,38,55,7,0.38,0.55,0.07
36400,34,64,2,0.34,0.64,0.02
