Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
21400,18,80,2,0.18,0.8,0.02
21500,22,73,5,0.22,0.73,0.05
21600,22,75,3,0.22,0.75,0.03
21700,20,77,3,0.2,0.77,0.03
21800,20,77,3,0.2,0.77,0.03
21900,25,72,3,0.25,0.72,0.03
22000,27,71,2,0.27,0.71,0.02
22100,27,72,1,0.27,0.72,0.01
22200,19,79,2,0.19,0.79,0.02
22300,19,77,4,0.19,0.77,0.04
22400,23,76,1,0.23,0.76,0.01
22500,19,79,2,0.19,0.79,0.02
22600,20,74,6,0.2,0.74,0.06
22700,17,75,8,0.17,0.75,0.08
22800,20,74,6,0.2,0.74,0.06
22900,23,74,3,0.23,0.74,0.03
23000,17,77,6,0.17,0.77,0.06
23100,14,82,4,0.14,0.82,0.04
23200,17,83,0,0.17,0.83,0.0
23300,21,73,6,0.21,0.73,0.06
23400,19,80,1,0.19,0.8,0.01
23500,25,71,4,0.25,0.71,0.04
23600,28,69,3,0.28,0.69,0.03
23700,14,84,2,0.14,0.84,0.02
23800,23,74,3,0.23,0.74,0.03
23900,14,83,3,0.14,0.83,0.03
24000,29,65,6,0.29,0.65,0.06
24100,32,64,4,0.32,0.64,0.04
24200,27,69,4,0.27,0.69,0.04
24300,18,79,3,0.18,0.79,0.03
24400,23,76,1,0.23,0.76,0.01
24500,22,74,4,0.22,0.74,0.04
24600,23,73,4,0.23,0.73,0.04
24700,22,73,5,0.22,0.73,0.05
24800,27,65,8,0.27,0.65,0.08
24900,22,74,4,0.22,0.74,0.04
25000,23,71,6,0.23,0.71,0.06
25100,29,69,2,0.29,0.69,0.02
25200,20,77,3,0.2,0.77,0.03
25300,13,84,3,0.13,0.84,0.03
25400,20,77,3,0.2,0.77,0.03
25500,20,76,4,0.2,0.76,0.04
25600,17,80,3,0.17,0.8,0.03
25700,20,79,1,0.2,0.79,0.01
25800,24,75,1,0.24,0.75,0.01
25900,19,74,7,0.19,0.74,0.07
26000,21,77,2,0.21,0.77,0.02
26100,24,72,4,0.24,0.72,0.04
26200,23,69,8,0.23,0.69,0.08
26300,18,81,1,0.18,0.81,0.01
26400,16,78,6,0.16,0.78,0.06
26500,22,74,4,0.22,0.74,0.04
26600,20,77,3,0.2,0.77,0.03
26700,22,74,4,0.22,0.74,0.04
26800,20,75,5,0.2,0.75,0.05
26900,13,83,4,0.13,0.83,0.04
27000,22,74,4,0.22,0.74,0.04
27100,24,69,7,0.24,0.69,0.07
27200,23,73,4,0.23,0.73,0.04
27300,17,79,4,0.17,0.79,0.04
27400,22,73,5,0.22,0.73,0.05
27500,21,78,1,0.21,0.78,0.01
27600,19,78,3,0.19,0.78,0.03
27700,25,70,5,0.25,0.7,0.05
27800,22,73,5,0.22,0.73,0.05
27900,18,77,5,0.18,0.77,0.05
28000,20,73,7,0.2,0.73,0.07
28100,23,75,2,0.23,0.75,0.02
28200,21,70,9,0.21,0.7,0.09
28300,16,80,4,0.16,0.8,0.04
28400,22,76,2,0.22,0.76,0.02
28500,20,76,4,0.2,0.76,0.04
28600,24,71,5,0.24,0.71,0.05
28700,20,78,2,0.2,0.78,0.02
28800,18,78,4,0.18,0.78,0.04
28900,16,80,4,0.16,0.8,0.04
29000,16,81,3,0.16,0.81,0.03
29100,19,78,3,0.19,0.78,0.03
29200,20,76,4,0.2,0.76,0.04
29300,24,76,0,0.24,0.76,0.0
29400,26,72,2,0.26,0.72,0.02
29500,25,72,3,0.25,0.72,0.03
29600,23,73,4,0.23,0.73,0.04
29700,21,76,3,0.21,0.76,0.03
29800,20,78,2,0.2,0.78,0.02
29900,23,74,3,0.23,0.74,0.03
30000,16,81,3,0.16,0.81,0.03
30100,25,72,3,0.25,0.72,0.03
30200,25,70,5,0.25,0.7,0.05
30300,26,72,2,0.26,0.72,0.02
30400,24,72,4,0.24,0.72,0.04
30500,20,79,1,0.2,0.79,0.01
30600,23,74,3,0.23,0.74,0.03
30700,15,82,3,0.15,0.82,0.03
30800,19,77,4,0.19,0.77,0.04
30900,32,67,1,0.32,0.67,0.01
31000,21,75,4,0.21,0.75,0.04
31100,20,78,2,0.2,0.78,0.02
31200,22,78,0,0.22,0.78,0.0
31300,23,73,4,0.23,0.73,0.04
31400,17,76,7,0.17,0.76,0.07
31500,17,79,4,0.17,0.79,0.04
31600,20,74,6,0.2,0.74,0.06
31700,24,70,6,0.24,0.7,0.06
31800,25,73,2,0.25,0.73,0.02
31900,23,74,3,0.23,0.74,0.03
32000,18,77,5,0.18,0.77,0.05
32100,20,73,7,0.2,0.73,0.07
32200,21,76,3,0.21,0.76,0.03
32300,20,74,6,0.2,0.74,0.06
32400,22,74,4,0.22,0.74,0.04
32500,27,67,6,0.27,0.67,0.06
32600,18,79,3,0.18,0.79,0.03
32700,24,73,3,0.24,0.73,0.03
32800,21,75,4,0.21,0.75,0.04
32900,20,78,2,0.2,0.78,0.02
33000,16,80,4,0.16,0.8,0.04
33100,27,70,3,0.27,0.7,0.03
33200,28,68,4,0.28,0.68,0.04
33300,20,78,2,0.2,0.78,0.02
33400,21,78,1,0.21,0.78,0.01
33500,21,74,5,0.21,0.74,0.05
33600,21,75,4,0.21,0.75,0.04
33700,23,77,0,0.23,0.77,0.0
33800,30,69,1,0.3,0.69,0.01
33900,24,70,6,0.24,0.7,0.06
34000,25,74,1,0.25,0.74,0.01
34100,15,82,3,0.15,0.82,0.03
34200,25,74,1,0.25,0.74,0.01
34300,18,79,3,0.18,0.79,0.03
34400,18,77,5,0.18,0.77,0.05
34500,21,78,1,0.21,0.78,0.01
34600,21,74,5,0.21,0.74,0.05
34700,21,76,3,0.21,0.76,0.03
34800,25,71,4,0.25,0.71,0.04
34900,14,81,5,0.14,0.81,0.05
35000,20,74,6,0.2,0.74,0.06
35100,26,69,5,0.26,0.69,0.05
35200,21,76,3,0.21,0.76,0.03
35300,18,74,8,0.18,0.74,0.08
35400,19,78,3,0.19,0.78,0.03
35500,15,82,3,0.15,0.82,0.03
35600,21,74,5,0.21,0.74,0.05
35700,23,74,3,0.23,0.74,0.03
35800,24,73,3,0.24,0.73,0.03
35900,23,72,5,0.23,0.72,0.05
36000,23,72,5,0.23,0.72,0.05
36100,26,73,1,0.26,0.73,0.01
36200,23,73,4,0.23,0.73,0.04
36300,24,72,4,0.24,0.72,0.04
36400,20,76,4,0.2,0.76,0.04
36500,21,76,3,0.21,0.76,0.03
36600,21,72,7,0.21,0.72,0.07
36700,18,77,5,0.18,0.77,0.05
36800,19,75,6,0.19,0.75,0.06
36900,17,78,5,0.17,0.78,0.05
37000,21,79,0,0.21,0.79,0.0
37100,16,78,6,0.16,0.78,0.06
37200,25,71,4,0.25,0.71,0.04
37300,14,80,6,0.14,0.8,0.06
37400,16,83,1,0.16,0.83,0.01
37500,23,75,2,0.23,0.75,0.02
37600,19,77,4,0.19,0.77,0.04
37700,19,77,4,0.19,0.77,0.04
37800,16,81,3,0.16,0.81,0.03
37900,16,82,2,0.16,0.82,0.02
38000,23,70,7,0.23,0.7,0.07
38100,23,74,3,0.23,0.74,0.03
38200,14,82,4,0.14,0.82,0.04
38300,19,77,4,0.19,0.77,0.04
38400,25,71,4,0.25,0.71,0.04
38500,21,74,5,0.21,0.74,0.05
38600,22,71,7,0.22,0.71,0.07
38700,21,76,3,0.21,0.76,0.03
38800,22,73,5,0.22,0.73,0.05
38900,22,75,3,0.22,0.75,0.03
39000,23,70,7,0.23,0.7,0.07
39100,29,69,2,0.29,0.69,0.02
39200,25,70,5,0.25,0.7,0.05
39300,16,77,7,0.16,0.77,0.07
